Title,Price (Rs.),Bedrooms,Bathrooms,City
Two Storey House for Sale in Colombo 10,16000000.0,3,2,Colombo
Prime 3-Storey Modern for Sale Dehiwala,150000000.0,5,6,Colombo
06 Bed Rooms Super Luxury Two Storey House for Sale in Ja Ela,70000000.0,6,4,Gampaha
Two Storey House for Sale in Kadawatha,19000000.0,4,3,Gampaha
Newly Build Luxury Three Story House Thalagala,30000000.0,4,3,Colombo
Papiliyana Designed Super Luxury Three Story House For Sale,160000000.0,7,5,Colombo
Modern Designed Luxury Three Story House For Sale Gonamaditha,39500000.0,4,4,Colombo
Two Storey house for sale in Piliyandala,44000000.0,4,3,Colombo
All Facility With Brand New House Sale Talawatugoda,56000000.0,4,3,Colombo
House For Sale In Dehiwala,45000000.0,5,2,Colombo
Best Brand New House Sale Athurugiriya,35500000.0,4,3,Colombo
Newly Built Luxury House for Sale in Mirihana Nugegoda,79000000.0,4,4,Colombo
No Title,,0,0,
All Completed House Sale Athurugiriya,36000000.0,5,3,Colombo
Two Storey House for Sale in Hokandara,26000000.0,3,3,Colombo
Luxury Three Storey House for Sale in Thalapathpitiya,115000000.0,4,5,Colombo
House for sale in Nugegoda,89000000.0,4,2,Colombo
Luxury Three Storey house for sale in Boralesgamuwa,49500000.0,4,6,Colombo
Luxury Two Storey house for sale in Kesbewa,55000000.0,4,4,Colombo
Single Storey House for Sale in Piliyandala,18500000.0,2,1,Colombo
For Sale Brand New 2 Story House ~ Negombo,34000000.0,3,2,Gampaha
Ultra Modern Brand New House sale Battaramulla,69500000.0,5,5,Colombo
Super Luxury Brand New Box Modern House For Sale ~ Negombo,51000000.0,4,3,Gampaha
Brand New Luxury 4BR House for Sale in Kiribathgoda,55000000.0,4,3,Gampaha
Completed Brand New House In Habarakada,23500000.0,3,2,Colombo
Single Storey House for Sale in Nawalapitiya Kandy,30000000.0,4,2,Kandy
Brand New Single Storied House For Sale Thunandahena Road,26000000.0,3,2,Colombo
Top House for sale Maharagama town,105000000.0,5,3,Colombo
For Sale Brand New 2 Story House in Negombo,26000000.0,3,2,Gampaha
Luxury 2-Storey Home â Prime Kadawatha,48500000.0,5,3,Gampaha
House for Sale in Nawala,77000000.0,5,3,Colombo
