Title,Price,Details,URL
single house for sale in nawala Ds24,"Rs 35,000,000","Bedrooms: 2, Bathrooms: 2",https://ikman.lk/en/ad/single-house-for-sale-in-nawala-ds24-for-sale-colombo-2
super elegant luxury house for sale nawala Ds 20175,"Rs 175,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/super-elegant-luxury-house-for-sale-nawala-ds-20175-for-sale-colombo-2
අලුතෙන්ම ඉදිකරන ලද වටිනා තනිමහල් නිවසක් කොට්ටාව අදිවේගී පිවිසුම(09162na),"Rs 29,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/alutenm-idikrn-ld-vttinaa-tnimhl-nivsk-kottttaav-adiveegii-pivisum09162na-for-sale-colombo
"Beautiful New House for Sale in Wickramasingha Pura, Battaramulla","Rs 32,000,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/beautiful-new-house-for-sale-in-wickramasingha-pura-battaramulla-for-sale-colombo-1
Uncommon Architect Design Tow Story House For Sale in Vidyala Junction,"Rs 34,000,000","Bedrooms: 5, Bathrooms: 3",https://ikman.lk/en/ad/uncommon-architect-design-tow-story-house-for-sale-in-vidyala-junction-for-sale-colombo
Very Beautiful three-storey House For Sale in Rajamaha Vihars Rd Nawinna,"Rs 59,500,000","Bedrooms: 6, Bathrooms: 5",https://ikman.lk/en/ad/very-beautiful-three-storey-house-for-sale-in-rajamaha-vihars-rd-nawinna-for-sale-colombo
Exclusive Luxury Two-Story House for Sale – Near Parliament.[HS100],"Rs 100,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/exclusive-luxury-two-story-house-for-sale-near-parliamenths100-for-sale-colombo-40
Pannipitiya Near to Railway Station House for Sale,"Rs 75,000,000","Bedrooms: 5, Bathrooms: 3",https://ikman.lk/en/ad/pannipitiya-near-to-railway-station-house-for-sale-for-sale-colombo-3
Brand-New Modern House With Unique Architecture - Piliyandala Madapatha,"Rs 27,000,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/brand-new-modern-house-with-unique-architecture-piliyandala-madapatha-for-sale-colombo
Kottawata 30M House for Sale.,"Rs 37,500,000","Bedrooms: 5, Bathrooms: 3",https://ikman.lk/en/ad/kottawata-30m-house-for-sale-for-sale-colombo-1
(DH1119) Luxury Three Storey House for Sale in Mattegoda Prime Aurora,"Rs 34,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/dh1119-luxury-three-storey-house-for-sale-in-mattegoda-prime-aurora-for-sale-colombo
3 Story House For Sale With Roof Top In Kottawa,"Rs 54,000,000","Bedrooms: 5, Bathrooms: 3",https://ikman.lk/en/ad/3-story-house-for-sale-with-roof-top-in-kottawa-for-sale-colombo
රාගම වල්පොල නිවසක් විකිණීමට,"Rs 3,900,000","Bedrooms: 2, Bathrooms: 1",https://ikman.lk/en/ad/raagm-vlpol-nivsk-vikinniimtt-for-sale-gampaha
Brand New House for Sale in Malabe,"Rs 78,000,000","Bedrooms: 6, Bathrooms: 5",https://ikman.lk/en/ad/brand-new-house-for-sale-in-malabe-for-sale-colombo-1501
Thalawathugoda Gated Community 10.5 Perch 5BR A/C Luxury House For Sale,"Rs 51,000,000","Bedrooms: 5, Bathrooms: 4",https://ikman.lk/en/ad/thalawathugoda-gated-community-105-perch-5br-a-c-luxury-house-for-sale-for-sale-colombo-1
House for Sale in Piduruwalla,"Rs 25,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/house-for-sale-for-sale-kurunegala-2145
Two-Storey House for Sale Hokandara Thalawathugoda,"Rs 29,750,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/two-storey-house-for-sale-hokandara-thalawathugoda-for-sale-colombo
FEATURED,"Rs 29,750,000",+12,https://ikman.lk/en/ad/two-storey-house-for-sale-hokandara-thalawathugoda-for-sale-colombo
කොට්ටාවෙන් අංග සම්පූර්ණ නිවසක් විකිණීමට,"Rs 37,500,000","Bedrooms: 5, Bathrooms: 3",https://ikman.lk/en/ad/kottttaaven-ang-smpuurnn-nivsk-vikinniimtt-for-sale-colombo-2
